year,community,num_stations_in_comm,season,peak_hour,day,avg_daily_emptiness,avg_daily_bike_avail
2013,LAKE VIEW,4,Fall,Yes,31,59.61363636,8.753787879
2013,LAKE VIEW,4,Fall,Yes,4,69.1975365,7.470346715
2013,LAKE VIEW,4,Fall,Yes,5,69.82175352,7.172043011
2013,LAKE VIEW,4,Fall,Yes,6,73.05322266,6.475097656
2013,LAKE VIEW,4,Fall,Yes,7,76.51237624,5.501485149
2013,LAKE VIEW,4,Fall,Yes,8,81.6928314,4.411293552
2013,LAKE VIEW,4,Fall,Yes,9,83.54954472,3.860739154
2013,LAKE VIEW,4,Summer,No,1,54.81954887,10.40037594
2013,LAKE VIEW,4,Summer,No,10,57.04473684,10.1245614
2013,LAKE VIEW,4,Summer,No,12,53.4969697,11.30757576
2013,LAKE VIEW,4,Summer,No,13,52.04565457,11.62871287
2013,LAKE VIEW,4,Summer,No,14,57.49222222,10.49
2013,LAKE VIEW,4,Summer,No,15,40.66721044,14.30668842
2013,LAKE VIEW,4,Summer,No,16,33.50136388,16.32733224
2013,LAKE VIEW,4,Summer,No,17,44.75543951,13.56222802
2013,LAKE VIEW,4,Summer,No,2,77.979442,5.483113069
2013,LAKE VIEW,4,Summer,No,22,56.90789474,9.907894737
2013,LAKE VIEW,4,Summer,No,23,39.34173228,13.9496063
2013,LAKE VIEW,4,Summer,No,24,42.70839937,13.11093502
2013,LAKE VIEW,4,Summer,No,25,30.95631825,15.83775351
2013,LAKE VIEW,4,Summer,No,26,18.63091483,18.72555205
2013,LAKE VIEW,4,Summer,No,27,59.37617555,9.347962382
2013,LAKE VIEW,4,Summer,No,28,50.4439834,11.35684647
2013,LAKE VIEW,4,Summer,No,29,42.82430939,13.89834254
2013,LAKE VIEW,4,Summer,No,3,77.34261603,5.658227848
2013,LAKE VIEW,4,Summer,No,30,55.00536082,10.89195876
2013,LAKE VIEW,4,Summer,No,31,62.72879177,8.972150814
2013,LAKE VIEW,4,Summer,No,5,65.9077381,8.261904762
2013,LAKE VIEW,4,Summer,No,6,52.83164983,11.34511785
2013,LAKE VIEW,4,Summer,No,7,45.65258216,13.114241
2013,LAKE VIEW,4,Summer,No,8,31.92640693,16.35064935
2013,LAKE VIEW,4,Summer,No,9,49.70889894,12.09351433
2013,LAKE VIEW,4,Summer,Yes,1,67.68099861,7.443828017
2013,LAKE VIEW,4,Summer,Yes,10,67.4921466,7.835951134
2013,LAKE VIEW,4,Summer,Yes,12,64.45689655,8.694827586
2013,LAKE VIEW,4,Summer,Yes,13,62.4235012,9.227817746
2013,LAKE VIEW,4,Summer,Yes,14,74.5752381,6.243809524
2013,LAKE VIEW,4,Summer,Yes,15,48.10032362,12.58899676
2013,LAKE VIEW,4,Summer,Yes,16,50.7133059,11.99222679
2013,LAKE VIEW,4,Summer,Yes,17,53.73157051,11.26522436
2013,LAKE VIEW,4,Summer,Yes,2,68.22454805,7.544243578
2013,LAKE VIEW,4,Summer,Yes,22,76.6440678,5.428571429
2013,LAKE VIEW,4,Summer,Yes,23,62.36106489,8.695507488
2013,LAKE VIEW,4,Summer,Yes,24,55.30110497,10.27624309
2013,LAKE VIEW,4,Summer,Yes,25,65.41922006,7.972144847
2013,LAKE VIEW,4,Summer,Yes,26,40.03396739,13.77581522
2013,LAKE VIEW,4,Summer,Yes,27,52.68369028,10.88962109
2013,LAKE VIEW,4,Summer,Yes,29,52.4982684,11.57316017
2013,LAKE VIEW,4,Summer,Yes,3,69.14545455,7.707272727
2013,LAKE VIEW,4,Summer,Yes,30,53.74900972,11.30896651
2013,LAKE VIEW,4,Summer,Yes,31,66.03942791,8.283339776
2013,LAKE VIEW,4,Summer,Yes,5,77.64556176,5.4283054
2013,LAKE VIEW,4,Summer,Yes,6,51.5929878,11.54522358
2013,LAKE VIEW,4,Summer,Yes,7,62.03824201,9.262557078
2013,LAKE VIEW,4,Summer,Yes,8,54.12966735,11.10319077
2013,LAKE VIEW,4,Summer,Yes,9,61.94434882,9.250717154
2013,LAKE VIEW,4,Winter,No,1,56.98412698,10.25396825
2013,LAKE VIEW,4,Winter,No,10,82.80729167,4.270833333
2013,LAKE VIEW,4,Winter,No,11,84.55208333,3.802083333
2013,LAKE VIEW,4,Winter,No,12,78.34343434,5.131313131
2013,LAKE VIEW,4,Winter,No,13,82.35772358,4.390243902
2013,LAKE VIEW,4,Winter,No,15,80.18181818,4.727272727
2013,LAKE VIEW,4,Winter,No,16,80.43010753,4.677419355
2013,LAKE VIEW,4,Winter,No,17,70.86956522,6.898550725
2013,LAKE VIEW,4,Winter,No,18,71.3989899,6.570707071
2013,LAKE VIEW,4,Winter,No,19,78.28787879,4.848484848
2013,LAKE VIEW,4,Winter,No,20,78.94949495,4.727272727
2013,LAKE VIEW,4,Winter,No,21,69.52380952,7.042328042
2013,LAKE VIEW,4,Winter,No,22,72.3030303,6.606060606
2013,LAKE VIEW,4,Winter,No,3,67.93055556,8.055555556
2013,LAKE VIEW,4,Winter,No,4,75.56410256,6.148717949
2013,LAKE VIEW,4,Winter,No,5,80.20833333,4.765625
2013,LAKE VIEW,4,Winter,No,6,80.26262626,4.752525253
2013,LAKE VIEW,4,Winter,No,7,80.99494949,4.611111111
2013,LAKE VIEW,4,Winter,No,8,75.29230769,6.107692308
2013,LAKE VIEW,4,Winter,No,9,73.35384615,6.553846154
